Name,Rgb
Misty Rose,"(205, 183, 181)"
Misty Rose,"(139, 125, 123)"
Moccasin,"(255, 228, 181)"
Mode Beige,"(150, 113, 23)"
Moss Green,"(138, 154, 91)"
Mountain Meadow,"(48, 186, 143)"
Mountbatten Pink,"(153, 122, 141)"
Mulberry,"(197, 75, 140)"
Mustard,"(255, 219, 88)"
Myrtle Green,"(49, 120, 115)"
Mystic Maroon,"(173, 67, 121)"
Nadeshiko Pink,"(246, 173, 198)"
Navajo White,"(255, 222, 173)"
Navajo White,"(238, 207, 161)"
Navajo White,"(205, 179, 139)"
Navajo White,"(139, 121, 94)"
Navy Blue,"(0, 0, 128)"
Neon Blue,"(70, 102, 255)"
Neon Carrot,"(255, 163, 67)"
Neon Fuchsia,"(254, 65, 100)"
Neon Green,"(57, 255, 20)"
Nickel,"(114, 116, 114)"
Nyanza,"(233, 255, 219)"
Ocean Blue,"(79, 66, 181)"
Ocean Green,"(72, 191, 145)"
Ochre,"(204, 119, 34)"
Old Burgundy,"(67, 48, 46)"
Old Gold,"(207, 181, 59)"
Old Lavender,"(121, 104, 120)"
Old Mauve,"(103, 49, 71)"
Old Rose,"(192, 128, 129)"
Old Lace,"(253, 245, 230)"
Olive,"(128, 128, 0)"
Olive Green,"(181, 179, 92)"
Olive Drab,"(107, 142, 35)"
Olive Drab,"(192, 255, 62)"
Olive Drab,"(179, 238, 58)"
Olive Drab,"(105, 139, 34)"
Olivine,"(154, 185, 115)"
Opal,"(168, 195, 188)"
Opera Maue,"(183, 132, 167)"
Orange Crayola,"(255, 88, 0)"
Orange Peel,"(255, 159, 0)"
Orange Soda,"(250, 91, 61)"
Orange,"(255, 165, 0)"
Orange,"(238, 154, 0)"
Orange,"(205, 133, 0)"
Orange,"(139, 90, 0)"
Orange Red,"(255, 69, 0)"
Orange Red,"(238, 64, 0)"
Orange Red,"(205, 55, 0)"
Orange Red,"(139, 37, 0)"
Orchid,"(218, 112, 214)"
Orchid Crayola,"(226, 156, 210)"
Orchid Pink,"(242, 189, 205)"
Orchid,"(255, 131, 250)"
Orchid,"(238, 122, 233)"
Orchid,"(205, 105, 201)"
Orchid,"(139, 71, 137)"
Outrageous Orange,"(255, 110, 74)"
Oxblood,"(74, 0, 0)"
Oxford Blue,"(0, 33, 71)"
Pacific Blue,"(28, 169, 201)"
Palatinate Purple,"(104, 40, 96)"
Pale,"(219, 112, 147)"
Pale Aqua,"(188, 212, 230)"
Pale Cerulean,"(155, 196, 226)"
Pale Pink,"(250, 218, 221)"
Pale Silver,"(201, 192, 187)"
Pale Spring,"(236, 235, 189)"
Pale Goldenrod,"(238, 232, 170)"
Pale Green,"(152, 251, 152)"
Pale Green,"(154, 255, 154)"
Pale Green,"(144, 238, 144)"
Pale Green,"(124, 205, 124)"
Pale Green,"(84, 139, 84)"
Pale Turquoise,"(175, 238, 238)"
Pale Turquoise,"(187, 255, 255)"
Pale Turquoise,"(174, 238, 238)"
Pale Turquoise,"(150, 205, 205)"
Pale Turquoise,"(102, 139, 139)"
Pale Violet,"(219, 112, 147)"
Pale Violet,"(255, 130, 171)"
Pale Violet,"(238, 121, 159)"
Pale Violet,"(205, 104, 137)"
Pale Violet,"(139, 71, 93)"
Pansy Purple,"(120, 24, 74)"
Papaya Whip,"(255, 239, 213)"
Paradise Pink,"(230, 62, 98)"
Pastel Pink,"(222, 165, 164)"
Patriarch Purple,"(128, 0, 128)"
Peach,"(255, 229, 180)"
Peach Puff,"(255, 218, 185)"
